category,source,identifier,detail
missing_gold_mapping,Dataset.xlsx:CQs,MROCQ8,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MROCQ9,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MROCQ10,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ1,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ2,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ3,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ4,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ5,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ6,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ7,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ8,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ9,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ10,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ11,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,PCORECQ12,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,WHOWHYCQ1,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,cq20,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,cq21,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,cq22,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ1,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ2,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ3,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ4,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ5,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ6,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ7,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ8,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ9,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ10,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ11,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ12,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ13,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ14,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,FestSCQ15,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ1,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ2,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ3,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ4,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ5,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ6,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ7,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ8,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ9,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ10,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ11,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ12,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ13,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ14,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,MusicSCQ15,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ3,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ4,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ5,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ6,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ7,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ8,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ9,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ10,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ11,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ12,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ13,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ14,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
missing_gold_mapping,Dataset.xlsx:CQs,HospitalSCQ15,No case-insensitive exact CQID-to-filename-stem match; no identifier-prefix inference was attempted.
