task_id,dataset_id,method,prompt_variant,raw_parse_success,normalized_parse_success,final_parse_success,metric_status,metric_unavailable_reason,class_count,class_label_count,class_label_coverage,class_comment_definition_count,class_comment_definition_coverage,object_property_count,object_property_label_count,object_property_label_coverage,object_property_comment_definition_count,object_property_comment_definition_coverage,datatype_property_count,datatype_property_label_count,datatype_property_label_coverage,datatype_property_comment_definition_count,datatype_property_comment_definition_coverage,ontology_declaration_present,ontology_metadata_statement_count,ontology_metadata_presence,documentation_literal_count,documentation_total_characters,average_documentation_length,assessed_entity_count,nontrivial_comment_definition_entity_count,nontrivial_comment_definition_rate,triples_count,classes_count_structural,object_properties_count_structural,datatype_properties_count_structural
a2_001_53103539d829,project2_12_6b51d431df,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_009_bd6d03cc9e49,project2_14_8527a891e2,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_007_d05d7de04946,project2_15_e629fa6598,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_010_ebb11bce6f61,project2_16_b17ef6d19c,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_011_1905237ce0e6,project2_1_6b86b273ff,ontogenia,P1,False,True,True,available,,6,3,0.5,3,0.5,5,5,1.0,5,1.0,2,2,1.0,2,1.0,False,0,False,10,814,81.4,13,10,0.769230769,82,6,5,2
a2_008_29bb8854c379,project2_2_d4735e3a26,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_005_b1b8a4e6b14c,project2_3_4e07408562,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_006_2fa58ae6ea7d,project2_4_4b227777d4,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_002_039ff84ce75b,project2_5_ef2d127de3,ontogenia,P1,False,True,True,available,,6,3,0.5,5,0.833333333,11,5,0.454545455,11,1.0,2,0,0.0,2,1.0,False,0,False,24,1345,56.041666667,19,18,0.947368421,100,6,11,2
a2_004_0ed9a511daba,project2_6_e7f6c01177,ontogenia,P1,False,True,True,available,,6,6,1.0,6,1.0,7,7,1.0,7,1.0,0,0,,0,,False,0,False,13,980,75.384615385,13,13,1.0,60,6,7,0
a2_015_8a81fed7623d,project2_FestS_76555d3566,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_017_074f7c6496b8,project2_HospitalS_37f96aff7d,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_013_d77b38205d84,project2_MusicS_6f198445eb,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_016_f2566d33a253,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,ontogenia,P1,False,True,True,available,,36,27,0.75,27,0.75,25,25,1.0,25,1.0,20,20,1.0,20,1.0,False,0,False,91,5429,59.659340659,81,72,0.888888889,535,36,25,20
a2_012_f5ffe69b1cc3,project2_Sage_1_WHOW_1b070153f1,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_014_3449ebd7bf6e,project2_Sophia_3_Reorchestration_71392573d4,ontogenia,P1,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_020_bc7db25b57cc,project2_11_4fc82b26ae,ontogenia,P2,False,True,True,available,,9,5,0.555555556,5,0.555555556,9,9,1.0,9,1.0,4,4,1.0,4,1.0,False,0,False,18,1118,62.111111111,22,18,0.818181818,173,9,9,4
a2_018_cebd0df2c218,project2_12_6b51d431df,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_026_2289b67d436b,project2_14_8527a891e2,ontogenia,P2,False,True,True,available,,11,5,0.454545455,5,0.454545455,3,3,1.0,3,1.0,2,2,1.0,2,1.0,False,0,False,10,775,77.5,16,10,0.625,112,11,3,2
a2_024_e77ddba2fc66,project2_15_e629fa6598,ontogenia,P2,False,True,True,available,,11,8,0.727272727,8,0.727272727,12,12,1.0,12,1.0,6,6,1.0,6,1.0,False,0,False,26,1558,59.923076923,29,26,0.896551724,179,11,12,6
a2_027_6918208838f3,project2_16_b17ef6d19c,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_028_ca76f005cce8,project2_1_6b86b273ff,ontogenia,P2,False,True,True,available,,10,7,0.7,7,0.7,7,7,1.0,7,1.0,2,2,1.0,2,1.0,False,0,False,16,1203,75.1875,19,16,0.842105263,121,10,7,2
a2_025_0c9b541fc676,project2_2_d4735e3a26,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_022_14d75f9bdf03,project2_3_4e07408562,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_023_e1f49216b35f,project2_4_4b227777d4,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_019_b0a48623c41d,project2_5_ef2d127de3,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_021_9ef2cd62cf15,project2_6_e7f6c01177,ontogenia,P2,False,True,True,available,,6,6,1.0,6,1.0,4,4,1.0,4,1.0,0,0,,0,,False,0,False,10,861,86.1,10,10,1.0,47,6,4,0
a2_032_3015093280bc,project2_FestS_76555d3566,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_034_d5692f0bcd64,project2_HospitalS_37f96aff7d,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_030_19f91eef4240,project2_MusicS_6f198445eb,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_033_95890f77aa83,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_029_5c794484e8eb,project2_Sage_1_WHOW_1b070153f1,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_031_eec4fb7dbc03,project2_Sophia_3_Reorchestration_71392573d4,ontogenia,P2,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_020_b78f743b2be0,project2_11_4fc82b26ae,domain-ontogen,P0,True,True,True,available,,5,5,1.0,0,0.0,5,5,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,10,0,0.0,56,5,5,0
a1_018_19ebb75a86ca,project2_12_6b51d431df,domain-ontogen,P0,True,True,True,available,,6,6,1.0,0,0.0,4,4,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,11,0,0.0,62,6,4,1
a1_026_aa68ef5033c0,project2_14_8527a891e2,domain-ontogen,P0,True,True,True,available,,4,4,1.0,3,0.75,3,3,1.0,3,1.0,0,0,,0,,True,0,False,6,314,52.333333333,7,6,0.857142857,45,4,3,0
a1_024_ece301859760,project2_15_e629fa6598,domain-ontogen,P0,True,True,True,available,,9,9,1.0,0,0.0,8,8,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,17,0,0.0,83,9,8,0
a1_027_f6ba7cdeedf4,project2_16_b17ef6d19c,domain-ontogen,P0,True,True,True,available,,9,9,1.0,0,0.0,8,8,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,18,0,0.0,136,9,8,1
a1_028_a0fe2a1dc5ab,project2_1_6b86b273ff,domain-ontogen,P0,True,True,True,available,,7,7,1.0,0,0.0,4,4,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,11,0,0.0,75,7,4,0
a1_025_1cde35537b6c,project2_2_d4735e3a26,domain-ontogen,P0,True,True,True,available,,7,7,1.0,0,0.0,6,6,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,13,0,0.0,69,7,6,0
a1_022_891366f929b9,project2_3_4e07408562,domain-ontogen,P0,True,True,True,available,,6,6,1.0,0,0.0,9,9,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,15,0,0.0,94,6,9,0
a1_023_92389d9dd521,project2_4_4b227777d4,domain-ontogen,P0,True,True,True,available,,8,8,1.0,0,0.0,5,5,1.0,0,0.0,2,2,1.0,0,0.0,True,0,False,0,0,0.0,15,0,0.0,63,8,5,2
a1_019_3d17888123de,project2_5_ef2d127de3,domain-ontogen,P0,True,True,True,available,,4,4,1.0,0,0.0,3,3,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,7,0,0.0,50,4,3,0
a1_021_63917fbc6f99,project2_6_e7f6c01177,domain-ontogen,P0,True,True,True,available,,4,4,1.0,0,0.0,4,4,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,8,0,0.0,46,4,4,0
a1_032_33c29ed9ebd0,project2_FestS_76555d3566,domain-ontogen,P0,True,True,True,available,,30,30,1.0,0,0.0,49,49,1.0,0,0.0,29,29,1.0,0,0.0,True,0,False,0,0,0.0,108,0,0.0,1132,30,49,29
a1_034_4558f8857c3a,project2_HospitalS_37f96aff7d,domain-ontogen,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_030_4b354f2a20e6,project2_MusicS_6f198445eb,domain-ontogen,P0,True,True,True,available,,32,31,0.96875,0,0.0,41,41,1.0,0,0.0,24,24,1.0,0,0.0,True,0,False,0,0,0.0,97,0,0.0,767,32,41,24
a1_033_a17232168818,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,domain-ontogen,P0,True,True,True,available,,17,17,1.0,0,0.0,25,25,1.0,0,0.0,10,10,1.0,1,0.1,True,0,False,1,128,128,52,1,0.019230769,472,17,25,10
a1_029_8e92b2cb77bf,project2_Sage_1_WHOW_1b070153f1,domain-ontogen,P0,True,True,True,available,,5,5,1.0,0,0.0,5,5,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,11,0,0.0,108,5,5,1
a1_031_c115d5a0ed42,project2_Sophia_3_Reorchestration_71392573d4,domain-ontogen,P0,True,True,True,available,,9,9,1.0,0,0.0,17,17,1.0,0,0.0,11,11,1.0,0,0.0,True,0,False,0,0,0.0,37,0,0.0,376,9,17,11
a2_037_383595a2f896,project2_11_4fc82b26ae,domain-ontogen,P1,True,True,True,available,,5,5,1.0,0,0.0,5,5,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,10,0,0.0,56,5,5,0
a2_035_717a7f7fd2df,project2_12_6b51d431df,domain-ontogen,P1,True,True,True,available,,5,5,1.0,0,0.0,3,3,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,9,0,0.0,52,5,3,1
a2_043_18c0009187ee,project2_14_8527a891e2,domain-ontogen,P1,True,True,True,available,,9,9,1.0,0,0.0,3,3,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,12,0,0.0,54,9,3,0
a2_041_703e09a77564,project2_15_e629fa6598,domain-ontogen,P1,True,True,True,available,,6,6,1.0,0,0.0,5,5,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,11,0,0.0,53,6,5,0
a2_044_7fbae47382c3,project2_16_b17ef6d19c,domain-ontogen,P1,True,True,True,available,,10,9,0.9,0,0.0,9,9,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,20,0,0.0,130,10,9,1
a2_045_eca0e2fd80e6,project2_1_6b86b273ff,domain-ontogen,P1,True,True,True,available,,7,7,1.0,0,0.0,5,5,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,12,0,0.0,83,7,5,0
a2_042_e35dfaf2fb38,project2_2_d4735e3a26,domain-ontogen,P1,True,True,True,available,,7,7,1.0,0,0.0,6,6,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,13,0,0.0,69,7,6,0
a2_039_7955b6eba8d2,project2_3_4e07408562,domain-ontogen,P1,True,True,True,available,,6,6,1.0,0,0.0,7,7,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,13,0,0.0,73,6,7,0
a2_040_a07336234b48,project2_4_4b227777d4,domain-ontogen,P1,True,True,True,available,,5,5,1.0,0,0.0,9,9,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,15,0,0.0,63,5,9,1
a2_036_4b8b357a649b,project2_5_ef2d127de3,domain-ontogen,P1,True,True,True,available,,4,4,1.0,0,0.0,4,4,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,8,0,0.0,52,4,4,0
a2_038_e4e774a758e3,project2_6_e7f6c01177,domain-ontogen,P1,True,True,True,available,,4,4,1.0,0,0.0,5,5,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,9,0,0.0,53,4,5,0
a2_049_146a06eeed53,project2_FestS_76555d3566,domain-ontogen,P1,True,True,True,available,,25,23,0.92,0,0.0,42,42,1.0,0,0.0,32,32,1.0,0,0.0,True,0,False,0,0,0.0,99,0,0.0,818,25,42,32
a2_051_486af6708c47,project2_HospitalS_37f96aff7d,domain-ontogen,P1,True,True,True,available,,32,32,1.0,0,0.0,32,32,1.0,0,0.0,19,19,1.0,0,0.0,True,0,False,0,0,0.0,83,0,0.0,592,32,32,19
a2_047_fe78c19e7ae0,project2_MusicS_6f198445eb,domain-ontogen,P1,True,True,True,available,,24,23,0.958333333,0,0.0,27,27,1.0,0,0.0,16,16,1.0,0,0.0,True,0,False,0,0,0.0,67,0,0.0,494,24,27,16
a2_050_6fc6ef98d4e4,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,domain-ontogen,P1,True,True,True,available,,17,17,1.0,0,0.0,18,18,1.0,0,0.0,5,5,1.0,0,0.0,True,0,False,0,0,0.0,40,0,0.0,360,17,18,5
a2_046_3fae13fba713,project2_Sage_1_WHOW_1b070153f1,domain-ontogen,P1,True,True,True,available,,7,7,1.0,0,0.0,5,5,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,13,0,0.0,97,7,5,1
a2_048_f04851af735a,project2_Sophia_3_Reorchestration_71392573d4,domain-ontogen,P1,True,True,True,available,,14,14,1.0,0,0.0,15,15,1.0,0,0.0,9,9,1.0,0,0.0,True,0,False,0,0,0.0,38,0,0.0,332,14,15,9
a2_054_5f77ffe0cd9b,project2_11_4fc82b26ae,domain-ontogen,P2,True,True,True,available,,5,5,1.0,0,0.0,5,5,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,10,0,0.0,52,5,5,0
a2_052_e52018b871df,project2_12_6b51d431df,domain-ontogen,P2,True,True,True,available,,7,7,1.0,0,0.0,5,5,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,13,0,0.0,74,7,5,1
a2_060_89e852ad32a2,project2_14_8527a891e2,domain-ontogen,P2,True,True,True,available,,9,9,1.0,0,0.0,3,3,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,12,0,0.0,54,9,3,0
a2_058_3dd7fc6a9a82,project2_15_e629fa6598,domain-ontogen,P2,True,True,True,available,,7,7,1.0,0,0.0,6,6,1.0,0,0.0,2,2,1.0,0,0.0,True,0,False,0,0,0.0,15,0,0.0,81,7,6,2
a2_061_d50d0d0f07ac,project2_16_b17ef6d19c,domain-ontogen,P2,True,True,True,available,,7,7,1.0,0,0.0,8,8,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,16,0,0.0,120,7,8,1
a2_062_dc02d50c6d78,project2_1_6b86b273ff,domain-ontogen,P2,True,True,True,available,,7,7,1.0,0,0.0,4,4,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,11,0,0.0,75,7,4,0
a2_059_e11232cd6769,project2_2_d4735e3a26,domain-ontogen,P2,True,True,True,available,,7,7,1.0,0,0.0,6,6,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,13,0,0.0,69,7,6,0
a2_056_99bf13462e54,project2_3_4e07408562,domain-ontogen,P2,True,True,True,available,,6,6,1.0,0,0.0,7,7,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,13,0,0.0,71,6,7,0
a2_057_2eb40f3326a5,project2_4_4b227777d4,domain-ontogen,P2,True,True,True,available,,7,7,1.0,0,0.0,5,5,1.0,0,0.0,2,2,1.0,0,0.0,True,0,False,0,0,0.0,14,0,0.0,58,7,5,2
a2_053_8698b8825b28,project2_5_ef2d127de3,domain-ontogen,P2,True,True,True,available,,4,4,1.0,0,0.0,3,3,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,7,0,0.0,47,4,3,0
a2_055_2a98b9ed5fa8,project2_6_e7f6c01177,domain-ontogen,P2,True,True,True,available,,4,4,1.0,0,0.0,4,4,1.0,0,0.0,0,0,,0,,True,0,False,0,0,0.0,8,0,0.0,45,4,4,0
a2_066_bd46a77a7cb3,project2_FestS_76555d3566,domain-ontogen,P2,True,True,True,available,,25,24,0.96,0,0.0,46,46,1.0,0,0.0,40,40,1.0,0,0.0,True,0,False,0,0,0.0,111,0,0.0,881,25,46,40
a2_068_127983ccb091,project2_HospitalS_37f96aff7d,domain-ontogen,P2,True,True,True,available,,37,37,1.0,0,0.0,48,48,1.0,0,0.0,19,19,1.0,0,0.0,True,0,False,0,0,0.0,104,0,0.0,808,37,48,19
a2_064_a986df09c035,project2_MusicS_6f198445eb,domain-ontogen,P2,True,True,True,available,,39,38,0.974358974,0,0.0,34,34,1.0,0,0.0,29,29,1.0,0,0.0,True,0,False,0,0,0.0,102,0,0.0,753,39,34,29
a2_067_0a7fb1c6d1b5,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,domain-ontogen,P2,True,True,True,available,,16,16,1.0,0,0.0,17,17,1.0,0,0.0,3,3,1.0,0,0.0,True,0,False,0,0,0.0,36,0,0.0,256,16,17,3
a2_063_f7b754022887,project2_Sage_1_WHOW_1b070153f1,domain-ontogen,P2,True,True,True,available,,7,7,1.0,0,0.0,6,6,1.0,0,0.0,1,1,1.0,0,0.0,True,0,False,0,0,0.0,14,0,0.0,111,7,6,1
a2_065_4416d55d0baa,project2_Sophia_3_Reorchestration_71392573d4,domain-ontogen,P2,True,True,True,available,,12,12,1.0,0,0.0,20,20,1.0,0,0.0,20,20,1.0,0,0.0,True,0,False,0,0,0.0,52,0,0.0,484,12,20,20
a1_037_ef08df59fae7,project2_11_4fc82b26ae,neon-gpt,P0,False,True,True,available,,26,22,0.846153846,22,0.846153846,8,8,1.0,8,1.0,6,6,1.0,6,1.0,False,0,False,51,2791,54.725490196,40,36,0.9,223,26,8,6
a1_035_99cde89dca55,project2_12_6b51d431df,neon-gpt,P0,False,True,True,available,,23,23,1.0,23,1.0,27,27,1.0,27,1.0,35,35,1.0,35,1.0,False,0,False,85,5990,70.470588235,85,85,1.0,424,23,27,35
a1_043_2cc6c691a329,project2_14_8527a891e2,neon-gpt,P0,False,True,True,available,,4,0,0.0,4,1.0,26,0,0.0,26,1.0,33,0,0.0,33,1.0,False,0,False,63,4589,72.841269841,63,63,1.0,260,4,26,33
a1_041_9affee07d79b,project2_15_e629fa6598,neon-gpt,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_044_75ff0b69e5ec,project2_16_b17ef6d19c,neon-gpt,P0,False,True,True,available,,9,9,1.0,9,1.0,13,13,1.0,13,1.0,40,40,1.0,40,1.0,False,0,False,62,3928,63.35483871,62,62,1.0,306,9,13,40
a1_045_e43533239945,project2_1_6b86b273ff,neon-gpt,P0,True,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_042_491add112194,project2_2_d4735e3a26,neon-gpt,P0,False,True,True,available,,16,0,0.0,9,0.5625,8,0,0.0,8,1.0,5,0,0.0,5,1.0,False,0,False,22,1432,65.090909091,29,22,0.75862069,294,16,8,5
a1_039_cbb9e7929ed1,project2_3_4e07408562,neon-gpt,P0,False,True,True,available,,34,18,0.529411765,18,0.529411765,9,9,1.0,9,1.0,6,6,1.0,6,1.0,False,0,False,42,2788,66.380952381,49,33,0.673469388,325,34,9,6
a1_040_a2c910585fa0,project2_4_4b227777d4,neon-gpt,P0,False,True,True,available,,25,0,0.0,7,0.28,6,0,0.0,6,1.0,4,0,0.0,4,1.0,False,0,False,18,1259,69.944444444,35,17,0.485714286,571,25,6,4
